Team Code,Team Name
G17POHAK1HA,Pohaku 17-1
G15POHAK1HA,Pohaku 15-1
G14POHAK1HA,Pohaku 14-1
G18POHAK1HA,Pohaku 18-1
G18PREMR1GP,Premier Nebraska 18 Gold
G15PREMR1GP,Premier Nebraska 15 Gold
G15PREMR2GP,Premier Nebraska 15 Black
G14PREMR1GP,Premier Nebraska 14 Gold
G13PREMR1GP,Premier Nebraska 13 Gold
G12PREMR1GP,Premier Nebraska 12 Gold
G16PREMR1GP,Premier Nebraska 16 Gold
G17PREMR1GP,Premier Nebraska 17 Gold
G17PVAKC1HA,PVA 17 ELITE
G16PVAKC1HA,PVA 16 ELITE
G15PVAKC1HA,PVA 15 ELITE
G12PVAKC1HA,PVA 12 ELITE
G13PVAKC1HA,PVA 13 ELITE
G14PVAKC1HA,PVA 14 ELITE
G18PVAKC1HA,PVA 18 ELITE
G17RRHVB1IM,RRHEATVB 17-1 Jaz
G17REVOL1AZ,AZ REV 17 Premier
G16REVOL1AZ,AZ REV 16 Premier
G14REVOL1AZ,AZ REV 14 Premier
G15REVOL1AZ,AZ REV 15 Premier
G16RHVBC1SO,Rhythm 16 Christina
G17RWDTH1GW,Rockwood Thunder 17 Elite
G16RWDTH1GW,Rockwood Thunder 16 Elite
G15RWDTH1GW,Rockwood Thunder 15 Elite
G14RWDTH1GW,Rockwood Thunder 14 Elite
G12RWDTH1GW,Rockwood Thunder 12 Elite
G18RWDTH1GW,Rockwood Thunder 18 Elite
G17RTSVA1IA,RVA 17U K.Palea
G17SAJVB1LS,SA Juniors 17 Adidas
G16SAJVB1LS,SA Juniors 16 Adidas
G15SAJVB1LS,SA Juniors 15 Adidas
G16SGELT1SC,SG Elite 16 Roshambo
G15SGELT1SC,SG Elite 15 Roshambo
G14SGELT1SC,SG Elite 14 Roshambo
G17SGELT1SC,SG Elite 17 Roshambo
G18SGELT1SC,SG Elite 18 Roshambo
G18SCROC2SC,LOVB 18-Joy
G18SCROC1SC,LOVB 18-Amir
G16SCROC1SC,SC Rockstar 16-Carlos
G16SCROC2SC,SC Rockstar 16-Brandon
G17SCROC1SC,LOVB 17-Angel
G17SCROC2SC,LOVB 17-Melissa
G17SCROC3SC,SC Rockstar 17- Adidas
G13SCROC1SC,SC Rockstar 13- Lance
G12SCROC1SC,SC Rockstar 12- Tiffany
G14SCROC1SC,SC Rockstar 14- Libby
G14SCROC2SC,SC Rockstar 14- Nicole
G15SCROC1SC,SC Rockstar 15 -Carlos
G15SCROC2SC,SC Rockstar 15-Stevi
G17SEALB1SC,Seal Beach 17 - Black
G17SHOCK1HA,Shockwave 17 Black
G16SHOCK1HA,Shockwave 16 Black
G15SHOCK1HA,Shockwave 15 Black
G16SKYHI1GL,Sky High Adidas 16 Elite
G15SKYHI1GL,Sky High Adidas 15 Elite
G14SKYHI1GL,Sky High Adidas 14 Elite
G17SKYHI1GL,Sky High Adidas 17 Elite
G18SKYHI1GL,Sky High Adidas 18 Elite
G17SKYLN1NT,Dal Skyline 17 Royal-Ping
G17SKYLN2NT,Dal Skyline 17 Royal-Sean
G13SKYLN1NT,Dallas Skyline 13 Royal
G14SKYLN1NT,Dal Skyline 14 Royal-Erin
G14SKYLN2NT,Dal Skyline 14 Royal-Josh
G15SKYLN1NT,Dal Skyline 15 Royal-Ryan
G15SKYLN2NT,D Skyline 15 Royal-David
G16SKYLN1NT,Dal Skyline 16 Royal-Paul
G16SKYLN2NT,D Skyline 16 Royal-Jimmy
G18SKYLN1NT,Dallas Skyline 18 Royal
G18SKYLN2NT,Dallas Skyline 18 Black
G16SCVBC1IM,South County 16 Nina
G16STVAC1LS,STVA 16-1 Madison
G16STVAC2LS,STVA 16-2 Gilberto
G17STVAC1LS,STVA 17-1 Jordan
G15STVAC1LS,STVA 15-1 Cristian
G18STVAC1LS,STVA 18-1 Eddie
G18SPSER1AH,SASVBC G 18 RHYENNE
G17SPSER1AH,SASVBC G 17 DAN
G16SPSER1AH,SASVBC G 16 KEVIN
G16SAVBC1SC,Sports Academy VBC 16 Premier
G17SAVBC1SC,Sports Academy VBC 17 Premier
G16SPVBC1GL,SPVB 16 Elite
G15SPVBC1GL,SPVB 15 Elite
G14SPVBC1GL,SPVB 14 Elite
G18SPVBC1GL,SPVB 18 Elite
G18STARS1PM,Stars 18 Helle
G15STARS1PM,Stars 15 Bing
G16STARS1PM,Stars 16 ZAmy
G17STARS1PM,Stars 17 ALex
G18SUDNI1PS,SIVBC 18 Tsunami
G18SUNSH1SC,Sunshine 18 LA
G17SUNSH2SC,Sunshine 17 LA
G17SUNSH1SC,Sunshine 17 Pacific
G16SUNSH1SC,Sunshine 16 LA
G15SUNSH1SC,Sunshine 15 Pacific
G13SUNSH1SC,Sunshine 13 Westside
G12SUNSH1SC,Sunshine 12 Westside
G14SUNSH1SC,Sunshine 14 Westside
G13SRFSD1SC,Surfside 13 PV Elite
G12SRFSD1SC,Surfside 12 PV Elite
G17SRFSD1SC,Surfside 17 Elite
G15FORCE1NC,SynergyForce G 15-1 Natl
G16TNVBC1FL,Tampa North 16 Black
G16TAVHO1LS,TAV Houston 16 Black
G17TAVHO1LS,TAV Houston 17 Black B
G15TAVHO1LS,TAV Houston 15 Black
G18TAVHO1LS,TAV Houston 18 Black
G18TXADV1NT,TAV 18 Black Jason
G18TXADV2NT,TAV 18 Black Haroun
G15TXADV1NT,TAV 15 Black Jason
G15TXADV2NT,TAV 15 Black Sean
G16TXADV3NT,TAV 16 Blue
G13TXADV1NT,TAV 13 Black Jon
G14TXADV1NT,TAV 14 Black
G17TXADV1NT,TAV 17 Black Jon
G17TXADV2NT,TAV 17 Black Haroun
G16TXADV1NT,TAV 16 Black Yun
G16TXADV2NT,TAV 16 Black Josh
G16TLGCY1LS,TX LEGACY 16 ELITE
G14TAVBJ1HO,Boiler Jrs 14O Gold
G15TAVBJ1HO,Boiler Jrs 15O Gold
G18TAVBJ1HO,Boiler Jrs 18O Gold
G18TAVBC1HO,Academy 18O Rage
G16TAVBC1HO,Academy 16O Yeti
G17TAVBC1HO,Academy 17O Tsunami
G17TWSKY1LS,TW Skyline 17 Royal
G16TWSKY1LS,TW Skyline 16 Royal
G15TWSKY1LS,TW Skyline 15 Royal
G17TKVBC1SO,TK 17 Outlaws Elite
G18TOLVC1OV,TVC 18-Black
G18TSVBA1FL,Top Select 18 Elite
G17TSVBA1FL,Top Select 17 Elite
G16TSVBA1FL,Top Select 16 Elite
