Team Code,Team Name
G13MSPRT1OV,Mintonette Sports - m.31
G15MSPRT1OV,Mintonette Sports - m.51
G15MSPRT2OV,Mintonette Sports - m.52
G18MSPRT1OV,Mintonette Sports - m.81
G18MSPRT2OV,Mintonette Sports - m.82
G18NLITE1NO,Northern Lights 18-1
G15NLITE1NO,Northern Lights 15-1
G16NLITE1NO,Northern Lights 16-1
G14NLITE1NO,Northern Lights 14-1
G17NLITE1NO,Northern Lights 17-1
G17MNSEL1NO,MN Select 17-1
G18MNSEL1NO,MN Select 18-1
G14MNSEL1NO,MN Select 14-1
G13MNSEL1NO,MN Select 13-1
G12MNSEL1NO,MN Select 12-1
G16MNSEL1NO,MN Select 16-1
G15MNSEL1NO,MN Select 15-1
G15MDEVB1EV,MODE 15 National
G15MMTSC1SC,Momentous VBC 15-Tara
G17MMTSC1SC,Momentous VBC 17-Dan
G16MMTSC1SC,Momentous VBC 16-Tara
G16MCMAV1LS,MoCo MAVS 16 Red
G17MCMAV1LS,MoCo MAVS 17 Red
G15MCMAV1LS,MoCo MAVS 15 Red
G15MTNPK1IM,MPV 15 National Green
G16MTNPK1IM,MPV 16 National Green
G16MOUVI1NC,MVVC G 16 Red
G17MOUVI1NC,MVVC G 17 Red
G15MOUVI1NC,MVVC G 15 Red
G14MOUVI1NC,MVVC G 14 Red
G15MUNVB1HO,Munciana 15 Blue
G12MUNVB1HO,Munciana 12 Peppers
G13MUNVB1HO,Munciana 13 Stingrays
G14MUNVB1HO,Munciana 14 Chipmunks
G16MUNVB1HO,Munciana 16 Nighthawks
G17MUNVB1HO,Munciana 17 Aztecs
G18MUNVB1HO,Munciana 18 Samurai
G18NCVBA1CR,Academy 18 Diamond
G17NCVBA1CR,Academy 17 Diamond
G16NCVBA1CR,Academy 16 Diamond
G15NCVBA1CR,Academy 15 Diamond
G14NCVBA1CR,Academy 14 Diamond
G17NEONE1GP,Nebraska ONE 17 Synergy
G17NKYVC1PR,NKYVC 17-1 Tsunami
G14NKYVC1PR,NKYVC 14-1 Tsunami
G15NKYVC1PR,NKYVC 15-1 Tsunami
G16NKYVC1PR,NKYVC 16-1 Tsunami
G18NKYVC1PR,NKYVC  18-1 Tsunami
G18NORCA1NC,NorCal 18-1 Black
G15NORCA1NC,NorCal 15-1 Black
G16NORCA1NC,NorCal 16-1 Black
G17NORCA1NC,NorCal 17-1 Black
G17NORCO1RM,NORCO 17 Black
G16NORCO1RM,NORCO 16 Black
G18NORCO1RM,NORCO 18 Black
G15NPJBE1CE,NPJ Bend 15 National
G16NPJBE1CE,NPJ Bend 16 National
G16NPJPD1CE,NPJ Portland 16 National
G17NPJPD1CE,NPJ Portland 17 National
G15NPJPD1CE,NPJ Portland 15 National
G18NPJPD1CE,NPJ Portland 18 National
G18NPJVB1CE,NPJ 18 Forefront
G15NPJVB2CE,NPJ Salem 15 Premier
G15NPJVB1CE,NPJ Salem 15 National
G14NPJVB1CE,NPJ Salem 14 National
G17NPJVB2CE,NPJ Salem 17 Premier
G17NPJVB1CE,NPJ Salem 17 National
G16NPJVB1CE,NPJ Salem 16 National
G16CHARG4OK,OK Charge 16 UA Tulsa
G17CHARG1OK,OK Charge 17 UA
G16CHARG1OK,OK Charge 16 UA
G17CHARG3OK,OK Charge 17 UA Tulsa
G16OPEAK1OK,PEAK 16-1 Elite
G15OMNIV1AZ,Omni 15N1
G15OMNIV1NC,OMNI 15 National
G17OMNIV1NC,OMNI 17 National
G16OMNIV1NC,OMNI 16 National
G18OMNIV1NC,OMNI 18 National
G18OTBVA2FL,OT 18 O TJ
G18OTBVA3FL,OT 18 J Stephen
G16OTBVA2FL,OT 16 O Semei
G16OTBVA1FL,OT 16 T JP
G17OTBVA1FL,OT 17 T Aaron
G17OTBVA3FL,OT 17 J John
G15OTBVA2FL,OT 15 O Christian
G15OTBVA1FL,OT 15 T Randy
G14OTBVA2FL,OT 14 O Omi
G14OTBVA1FL,OT 14 T Jody
G13OTBVA1FL,OT 13 T Kesha
G15OJVBC1DE,Ozark Juniors 15 Premier
G16OJVBC1DE,Ozark Juniors 16 Premier
G17OJVBC1DE,Ozark Juniors 17 Premier
G17PARVB1CH,Paramount VBC 17 Nick
G16PARVB1CH,Paramount VBC 16 Maureen
G16PARVB2CH,Paramount VBC 16 Alec
G15PARVB1CH,Paramount VBC 15 Nick
G14PARVB1CH,Paramount VBC 14 Jaz
G18PARVB1CH,Paramount VBC 18 Cozad
G16PEVBA1NT,Peak VA 16 Black
G17PEVBA1NT,Peak VA 17 Black
G17PHPVB1HO,PineappleHP 17U
G16PHPVB1HO,PineappleHP 16U
G14PHPVB1HO,PineappleHP 14U
G15PHPVB1HO,PineappleHP 15U
G18PHPVB1HO,PineappleHP 18U
G15PLSCV1SC,Pipeline 15-Adidas
G16PLSCV1SC,Pipeline 16-Adidas
G16POHAK1HA,Pohaku 16-1
