Match ID,First Team ID,First Team Name,Second Team ID,Second Team Name,Winner,Set Scores
-51643,71273,VCNebraska 17 Elite,9870,NORCO 17 Blue,VCNebraska 17 Elite,"25-8, 25-22"
-51722,71273,VCNebraska 17 Elite,202113,Club V 17 Red Megan,VCNebraska 17 Elite,"25-12, 25-20"
-51724,71273,VCNebraska 17 Elite,45771,Juggernaut 17-National1,VCNebraska 17 Elite,"25-20, 20-25, 15-12"
-51765,71273,VCNebraska 17 Elite,25140,CVA 17 Black,VCNebraska 17 Elite,"25-17, 25-20"
-51657,25140,CVA 17 Black,64020,Elevation 17 Timberline,Elevation 17 Timberline,"25-22, 25-15"
-51659,25140,CVA 17 Black,47876,Excel NW 18-1 Lux,CVA 17 Black,"25-18, 25-17"
-51661,144060,South County 17 Bonnie,25140,CVA 17 Black,CVA 17 Black,"25-19, 28-26"
-51688,104187,Rocky Elite  17 National,25140,CVA 17 Black,CVA 17 Black,"25-21, 25-18"
-51689,25140,CVA 17 Black,9870,NORCO 17 Blue,CVA 17 Black,"25-19, 25-18"
-51656,144060,South County 17 Bonnie,47876,Excel NW 18-1 Lux,South County 17 Bonnie,"25-17, 25-23"
-51658,144060,South County 17 Bonnie,64020,Elevation 17 Timberline,South County 17 Bonnie,"25-23, 25-20"
-51704,202662,Topeka Impact 17-1,144060,South County 17 Bonnie,South County 17 Bonnie,"25-22, 25-18"
-51707,206877,Midwest Elite 17-1,144060,South County 17 Bonnie,South County 17 Bonnie,"25-21, 25-22"
-51647,833,OK Charge 17 UA,20908,Momentum 18 Jen,OK Charge 17 UA,"25-13, 25-23"
-51649,833,OK Charge 17 UA,169435,NORCO 17 White,OK Charge 17 UA,"25-6, 25-16"
-51652,833,OK Charge 17 UA,104187,Rocky Elite  17 National,Rocky Elite  17 National,"25-21, 23-25, 15-10"
-51698,206534,Club 801 U18 Callie,833,OK Charge 17 UA,OK Charge 17 UA,"25-19, 25-17"
-51773,206877,Midwest Elite 17-1,833,OK Charge 17 UA,OK Charge 17 UA,"25-15, 25-18"
-51771,104187,Rocky Elite  17 National,833,OK Charge 17 UA,OK Charge 17 UA,"25-15, 25-12"
-51648,104187,Rocky Elite  17 National,169435,NORCO 17 White,Rocky Elite  17 National,"25-10, 25-11"
-51650,104187,Rocky Elite  17 National,20908,Momentum 18 Jen,Rocky Elite  17 National,"28-26, 25-11"
-51686,104187,Rocky Elite  17 National,9870,NORCO 17 Blue,Rocky Elite  17 National,"23-25, 25-13, 16-14"
-51772,104187,Rocky Elite  17 National,185233,Colorado Skyline 17 Royal,Rocky Elite  17 National,"25-20, 28-26"
-51809,185233,Colorado Skyline 17 Royal,202113,Club V 17 Red Megan,Colorado Skyline 17 Royal,"25-20, 25-14"
-51811,185233,Colorado Skyline 17 Royal,45771,Juggernaut 17-National1,Colorado Skyline 17 Royal,"22-25, 26-24, 15-10"
-51826,206877,Midwest Elite 17-1,185233,Colorado Skyline 17 Royal,Midwest Elite 17-1,"25-16, 25-17"
-51716,185233,Colorado Skyline 17 Royal,11721,Momentum 17 Tara,Colorado Skyline 17 Royal,"25-17, 25-17"
-51775,45771,Juggernaut 17-National1,185233,Colorado Skyline 17 Royal,Colorado Skyline 17 Royal,"18-25, 26-24, 26-24"
-51807,206877,Midwest Elite 17-1,205244,High Desert Elite 17 E-EK,Midwest Elite 17-1,"25-16, 25-16"
-51808,71455,CoJrs 17Tara/Amy,206877,Midwest Elite 17-1,Midwest Elite 17-1,"25-7, 25-16"
-51706,202662,Topeka Impact 17-1,206877,Midwest Elite 17-1,Midwest Elite 17-1,"25-16, 23-25, 15-13"
-51810,45771,Juggernaut 17-National1,202113,Club V 17 Red Megan,Juggernaut 17-National1,"25-21, 25-18"
-51827,45771,Juggernaut 17-National1,205244,High Desert Elite 17 E-EK,Juggernaut 17-National1,"25-13, 16-25, 15-8"
-51725,45771,Juggernaut 17-National1,202113,Club V 17 Red Megan,Juggernaut 17-National1,"25-19, 19-25, 15-9"
-51784,202662,Topeka Impact 17-1,11721,Momentum 17 Tara,Topeka Impact 17-1,"25-18, 25-14"
-51782,206534,Club 801 U18 Callie,202662,Topeka Impact 17-1,Topeka Impact 17-1,"25-22, 25-17"
-51665,206534,Club 801 U18 Callie,199684,FCA One 17s,Club 801 U18 Callie,"25-21, 25-16"
-51667,206534,Club 801 U18 Callie,202114,Club V 17 Red Austin,Club 801 U18 Callie,"25-7, 18-25, 15-6"
-51670,206534,Club 801 U18 Callie,11721,Momentum 17 Tara,Club 801 U18 Callie,"25-22, 25-16"
-51786,9870,NORCO 17 Blue,206534,Club 801 U18 Callie,Club 801 U18 Callie,"25-23, 25-16"
