TeamCode,TeamName,2024 Triple Crown NIT,2024 USAV Girls Junior National Championship 14-17,2025 Triple Crown Colorado Challenge,25 Central Zone Invitational
g13mlwst4bg,MKE Sting 13 Silver,,,,3 (13 Club Blue)
g13mnsel1no,MN Select 12-1,15 (12 & Under),,,
g13momen1rm,Momentum 13 Celeste,,,9 (13 Elite),
g13msprt1ov,Mintonette Sports - m.31,,,,8 (13 Open)
g13msprt2ov,Mintonette Sports - m.32,,,,29 (13 Premier)
g13msprt3ov,Mintonette Sports - m.33,,,,13 (13 Club White)
g13nivba1ho,NIVA 13 PURPLE,,,,5 (13 Club Red)
g13nivba3ho,NIVA 13 WHITE,,,,5 (13 Club White)
g13nkjvb1pr,NKJV 13 Blue,,,,13 (13 Premier)
g13nkjvb2pr,NKJV 13 White,,,,9 (13 Club White)
g13nkjvb3pr,NKJV 13 Black,,,,9 (13 Club Red)
g13nkyvc1pr,NKYVC 13-1 Tsunami,,,,5 (13 Open)
g13nkyvc2pr,NKYVC 13-2 Tide,,,,9 (13 Premier)
g13nkyvc3pr,NKYVC 13-3 Typhoon,,,,9 (13 Club Blue)
g13nkyvc4pr,NKYVC 13-4 Thunder,,,,19 (13 Club White)
g13norco1rm,NORCO 13 Black,,,2 (13 Elite),
g13oprem1ov,OPVC 13 Nadler,,,,7 (13 Open)
g13oprem2ov,OPVC 13 Habermehl,,,,1 (13 Club White)
g13oprem3ov,OPVC 13 Gill,,,,5 (13 Club Red)
g13pnjrs1ho,Panther Juniors 13 Black,,,,15 (13 Club Blue)
g13power1ha,KC Power 12 Black,11 (12 & Under),,,
g13premr1gp,Premier Nebraska 12 Gold,11 (12 & Under),,,
g13premr1ov,Premier 13 Spree,,,,5 (13 Club Blue)
g13progy1pr,Prodigy 13 Red,,,,23 (13 Club Blue)
g13prsut1gw,Pursuit 13 Elite,,,,9 (13 Premier)
g13relen1rm,RVC 13-RELENTLESS,,,2 (13 Club),
g13revbc1ho,Rev 13-1 Pistons (N),,,,31 (13 Premier)
g13revbc2ho,Rev 13-2 Wolves (N),,,,21 (13 Club White)
g13rncjr1ho,Roncalli Juniors 13-1,,,,5 (13 Club Blue)
g13rogue1ov,Rogue 13 GO,,,,1 (13 Club Blue)
g13rsele1rm,Rocky Elite 13 National,,,3 (13 Club),
g13scbvb1ca,SCBandits 13-1,,,,13 (13 Club White)
g13seymo1ho,Seymour Club 13U,,,,15 (13 Club Blue)
g13sldyn1lk,Dynamite Adidas 13-1,,,,25 (13 Premier)
g13soine1pr,SOINE 13-1,,,,5 (13 Club White)
g13spike1rm,SPIKES 13 JumpStart,,,11 (13 Club),
g13stjrv1ho,Stars Jr VBC 13-1,,,,17 (13 Club Red)
g13storm1az,ARIZONA STORM 12 THUNDER,7 (12 & Under),,,
g13sumvb1ho,Summit 13 Blue Elite,,,,5 (13 Club Red)
g13sumvb2ho,Summit 13 Orange Elite,,,,17 (13 Club White)
g13swvbc1ov,Southwest 13N1 Alex Emily,,,,13 (13 Premier)
g13swvbc2ov,Southwest 13N2 Tanya,,,,2 (13 Club Blue)
g13tavbc1ho,Academy 13-1O Eagles,,,,17 (13 Open)
g13tavbc2ho,Academy 13-2E Falcons,,,,23 (13 Premier)
g13tavbj1ho,Boiler Jrs 13-1O Gold,,,,1 (13 Open)
