b16msprt3ov,,,,,,,,,,,,15 (16 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.63
b16muted1fl,,,,,,,11th (B18 Open),,,,,,,,,,,,,,,,,,,,,,
b16muted2fl,,,,,,,2nd (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16mvpac1fl,,,,,,,20th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16ncpwr1cr,,,,,11 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,NC Power & Sand 16 Black
b16nextv1ov,,,,,,,,,,,,10 (16 Boys),,,,,,,,,,,,,,,,,Next 16xBlack
b16obvbc1fl,,,,,,,4th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16obvbc2fl,,,,,,,19th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16ocean1od,,,,,1 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,OVC 16 Neptune
b16ogold1fl,,,,,,,5th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16ogold3fl,,,,,,,8th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16oprem1ov,,,,,,,,,,,,5 (16 Boys),,,,,,,,,,,,,,,,,OPVC 16 Purple Daren
b16oprem2ov,,,,,,,,,,,,23 (16 Boys),,,,,,,,,,,,,,,,,OPVC 16 Purple Doug
b16oprem3ov,,,,,,,,,,,,25 (16 Boys),,,,,,,,,,,,,,,,,OPVC 16 Black
b16ozone1fl,,,,,,,13th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16pghel1ke,,,,,,,,,,,,5 (16 Boys),,,,,,,,,,,,,,,,,PEVA Boys 16 Elite
b16pghel2ke,,,,,,,,,,,,19 (16 Boys),,,,,,,,,,,,,,,,,PEVA BOYS 16 NATIONAL
b16prage1pm,,,,,8 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,PRV 16U Boys
b16premr1ov,,,,,,,,,,,,15 (16 Boys),,,,,,,,,,,,,,,,,Premier 16 NovaBlast
b16rcvba1od,,,,,,,5th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16rockc1ov,,,,,,,,,,,,27 (16 Boys),,,,,,,,,,,,,,,,,RockCity 16-1
b16rtvbaaha,,,,3 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,RootsVBA 15/16- Ironbark
b16rtvbabha,,,,14 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,RootsVBA 16- Stormvale
b16skyln1fl,,,,,,,3rd (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16tkiwi1fl,,,,,,,9th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16tmmom2gw,,,,11 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Team Momentum B16 Orange
b16tnvba1ha,,,,7 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,True North B16s Green
b16tnvba2ha,,,,3 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,True North B16s White
b16trdun1cr,,,,,2 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,TU Boys 16-Elite
b16tribe1fl,,,,,,,5th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b16tribe2fl,,,,,,,7th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16trngl1cr,,,,,7 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Triangle Boys 16 Black
b16trngl2cr,,,,,3 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Triangle Boys 16 Blue
b16tropi1fl,,,,,,,15th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16univb1pr,,,,,,,,,,,,3 (16 Boys),,,,,,,,,,,,,,,,,UNION B16 Black
b16unvbc1ha,,,,7 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,KC United 16 Navy
b16uotvb1fl,,,,,,,11th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16welln1fl,,,,,,,11th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
