TeamName,TeamCode,OriginalTeamCode,FinishRank,DivisionName,EventName
AZ EVJ 15 Elite,g15azevj1az,g15azevj1az,121 (15 & Under),15 & Under,2026 Triple Crown NIT
JJVA 15 Teal,g15jaxjr1fl,g15jaxjr1fl,121 (15 & Under),15 & Under,2026 Triple Crown NIT
NPJ Bend 15 National,g15npjbe1ce,g15npjbe1ce,121 (15 & Under),15 & Under,2026 Triple Crown NIT
Tstreet LV 15-Chad,g15tstlv1sc,g15tstlv1sc,121 (15 & Under),15 & Under,2026 Triple Crown NIT
Shockwave 15 Black,g15shock1ha,g15shock1ha,125 (15 & Under),15 & Under,2026 Triple Crown NIT
Mizuno CNVBC 15Coach Ib,g15cnvbc1ha,g15cnvbc1ha,126 (15 & Under),15 & Under,2026 Triple Crown NIT
Dunes 15 Black,g15dunes1ho,g15dunes1ho,127 (15 & Under),15 & Under,2026 Triple Crown NIT
IMGA Ascender Elite 15-1,g15imgvb1fl,g15imgvb1fl,127 (15 & Under),15 & Under,2026 Triple Crown NIT
NPJ Salem 15 Premier,g15npjvb2ce,g15npjvb2ce,129 (15 & Under),15 & Under,2026 Triple Crown NIT
OMNI 15 National,g15omniv1nc,g15omniv1nc,129 (15 & Under),15 & Under,2026 Triple Crown NIT
PowerPlex 15U Mendieta,g15pwrpx1ia,g15pwrpx1ia,129 (15 & Under),15 & Under,2026 Triple Crown NIT
Premier 15 Crimson W,g15premr3nt,g15premr3nt,129 (15 & Under),15 & Under,2026 Triple Crown NIT
A5 16-Gabe,g16afive1so,g16afive1so,1 (16 & Under),16 & Under,2026 Triple Crown NIT
Dal Skyline 16 Royal-Paul,g16skyln1nt,g16skyln1nt,2 (16 & Under),16 & Under,2026 Triple Crown NIT
Alamo 16 Premier,g16alamo1ls,g16alamo1ls,3 (16 & Under),16 & Under,2026 Triple Crown NIT
ARIZONA STORM 16 THUNDER,g16storm1az,g16storm1az,3 (16 & Under),16 & Under,2026 Triple Crown NIT
1st Alliance 16 Gold,g16allia1gl,g16allia1gl,5 (16 & Under),16 & Under,2026 Triple Crown NIT
WAVE 16-Scott,g16wvevb1sc,g16wvevb1sc,5 (16 & Under),16 & Under,2026 Triple Crown NIT
DYNASTY 16 Black,g16tmdyn1ha,g16tmdyn1ha,7 (16 & Under),16 & Under,2026 Triple Crown NIT
ID Crush 16 Bower,g16idcrs1im,g16idcrs1im,7 (16 & Under),16 & Under,2026 Triple Crown NIT
TAV 16 Black Yun,g16txadv1nt,g16txadv1nt,9 (16 & Under),16 & Under,2026 Triple Crown NIT
Academy 16 Diamond,g16ncvba1cr,g16ncvba1cr,10 (16 & Under),16 & Under,2026 Triple Crown NIT
HJV 16 ELITE,g16houjr1ls,g16houjr1ls,11 (16 & Under),16 & Under,2026 Triple Crown NIT
Kairos 16 Alpha,g16kairo1no,g16kairo1no,11 (16 & Under),16 & Under,2026 Triple Crown NIT
Adversity G16 Adidas,g16adver1gl,g16adver1gl,13 (16 & Under),16 & Under,2026 Triple Crown NIT
HPSTL 16 Royal,g16hpstl1gw,g16hpstl1gw,13 (16 & Under),16 & Under,2026 Triple Crown NIT
MAVS 16 Elite,g16mavbc1ha,g16mavbc1ha,13 (16 & Under),16 & Under,2026 Triple Crown NIT
SG Elite 16 Roshambo,g16sgelt1sc,g16sgelt1sc,13 (16 & Under),16 & Under,2026 Triple Crown NIT
MADFROG 16'S N GREEN,g16frogs1nt,g16frogs1nt,17 (16 & Under),16 & Under,2026 Triple Crown NIT
Actyve 16-Navy,g16actyv1sc,g16actyv1sc,18 (16 & Under),16 & Under,2026 Triple Crown NIT
AVC CLE 16 Red,g16acavc1ov,g16acavc1ov,19 (16 & Under),16 & Under,2026 Triple Crown NIT
KC Power 16-1,g16power1ha,g16power1ha,19 (16 & Under),16 & Under,2026 Triple Crown NIT
Areté 16 Navy Telos,g16arete1nt,g16arete1nt,21 (16 & Under),16 & Under,2026 Triple Crown NIT
ARVC 16 Black Adidas,g16arvca1su,g16arvca1su,21 (16 & Under),16 & Under,2026 Triple Crown NIT
TAV 16 Black Josh,g16txadv2nt,g16txadv2nt,21 (16 & Under),16 & Under,2026 Triple Crown NIT
Vegas Aces 16 REN,g16vaces1sc,g16vaces1sc,21 (16 & Under),16 & Under,2026 Triple Crown NIT
H Skyline 16 Royal,g16hosky1ls,g16hosky1ls,25 (16 & Under),16 & Under,2026 Triple Crown NIT
CoJrs 16Sherri,g16cojrs1rm,g16cojrs1rm,26 (16 & Under),16 & Under,2026 Triple Crown NIT
Legacy 16-1 ADIDAS,g16legvc1lk,g16legvc1lk,27 (16 & Under),16 & Under,2026 Triple Crown NIT
Vision 16 Gold,g16vsion1nc,g16vsion1nc,27 (16 & Under),16 & Under,2026 Triple Crown NIT
Elevation 16 Renfro,g16eleva1ov,g16eleva1ov,29 (16 & Under),16 & Under,2026 Triple Crown NIT
MKE Sting 16 Gold,g16mlwst1bg,g16mlwst1bg,29 (16 & Under),16 & Under,2026 Triple Crown NIT
TPV 16-Maverick,g16tnpfc1so,g16tnpfc1so,29 (16 & Under),16 & Under,2026 Triple Crown NIT
Tribe 16 VKTRY Cardinal,g16tribe1fl,g16tribe1fl,29 (16 & Under),16 & Under,2026 Triple Crown NIT
AJV 16 adidas,g16ajvba1ls,g16ajvba1ls,33 (16 & Under),16 & Under,2026 Triple Crown NIT
Tstreet 16-Bailey,g16tstrt1sc,g16tstrt1sc,34 (16 & Under),16 & Under,2026 Triple Crown NIT
D Skyline 16 Royal-Jimmy,g16skyln2nt,g16skyln2nt,35 (16 & Under),16 & Under,2026 Triple Crown NIT
Munciana 16 Nighthawks,g16munvb1ho,g16munvb1ho,35 (16 & Under),16 & Under,2026 Triple Crown NIT
NKYVC 16-1 Tsunami,g16nkyvc1pr,g16nkyvc1pr,37 (16 & Under),16 & Under,2026 Triple Crown NIT
Sunshine 16 LA,g16sunsh1sc,g16sunsh1sc,37 (16 & Under),16 & Under,2026 Triple Crown NIT
