g11dunes2ho,DVC Elite 11 Blue,,,,,,,,,,19 (11 Girls),,,,,,,,,,,,
g11eagmt1nt,EMV 11 National Black,,3 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11eleva1ov,Elevation 11 Dawn,,,,,,,,,,2 (11 Open),,,,,,,,,,,,
g11eleva2ov,Elevation 11 Butcher,,,,,,,,,,7 (11 Open),,,,,,,,,,,,
g11eleva3ov,Elevation 11 Grafton,,,,,,,,,,3 (11 Girls),,,,,,,,,,,,
g11euvba1ho,EU U11-Black,,,,,,,,,,15 (11 Girls),,,,,,,,,,,,
g11euvba2ho,EU U11-Platinum,,,,,,,,,,21 (11 Girls),,,,,,,,,,,,
g11euvba3ho,EU U11-Silver,,,,,,,,,,19 (11 Girls),,,,,,,,,,,,
g11excel1nt,EXCEL 11 Red,,6 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11excel2nt,EXCEL 11 White,,13 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11frogs1nt,MADFROG 11'S N GREEN,,2 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11gjvbc1fl,Gainesville Jrs 11-1,,,,,,,,,,,,,,11 (10 Girls),,,,,,,,
g11gpont1fl,GP 11 Rox,,,,,,,,,,,,,,9 (10 Girls),,,,,,,,
g11hpstl1gw,HPSTL 11 Royal,,9 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11innov1pu,InnovativeVC 12 RAYMOND,,,,,,,,,,,,,,12 (10 Girls),,,,,,,,
g11jelly1fl,Jellys 11Black,,,,,,11 (11-12G Club),,,,,,,,,,,,,,,,
g11k1vol2pu,K1 HATILLO JASON 11,,,,,,,,,,,,,,13 (10 Girls),,,,,,,,
g11k1vol6pu,K1 CIALES CHINO 11,,,,,,,,,,,,,,20 (10 Girls),,,,,,,,
g11legvc1lk,Legacy 11-1 ADIDAS,,,,,,,10 (12 Open),,,3 (11 Open),,,,13 (10 Girls),,,,,,,,
g11metro1ho,Metro VBC 11 Pink,,,,,,,,,,1 (11 Girls),,,,,,,,,,,,
g11metro2ho,Metro VBC 11 Black,,,,,,,,,,17 (11 Girls),,,,,,,,,,,,
g11miava1fl,LSV 11 Orange,,,,,,,,,,,,,,41 (10 Girls),,,,,,,,
g11mlwst1bg,MKE Sting 11 Gold,,,,,,,,,,9 (11 Open),,,,,,,,,,,,
g11momet1fl,FL Momentum 11U Neon,,,,,,,,,,,,,,33 (10 Girls),,,,,,,,
g11msprt1ov,Mintonette Sports - m.11,,,,,,,13 (12 Open),,,11 (11 Open),,,,,,,,,,,,
g11munvb1ho,Munciana 11 Yukons,,,,5 (12 Club),,,,,,,None (12 Girls Full Schedule),,,15 (10 Girls),,,,,,,,
g11mwvc11pu,MWVC 11U Cuqui,,,,,,,,,,,,,,20 (10 Girls),,,,,,,,
g11nivba1ho,NIVA 11 WHITE,,,,,,,,,,13 (11 Girls),,,,,,,,,,,,
g11nkjvb1pr,NKJV 11 Blue,,,,,,,,,,5 (11 Girls),,,,,,,,,,,,
g11nkjvb2pr,NKJV 11 White,,,,,,,,,,13 (11 Girls),,,,,,,,,,,,
g11nkyvc1pr,NKYVC 11-1 Tsunami,,,,,,,,,,5 (11 Open),,,,,,,,,,,,
g11nkyvc2pr,NKYVC 11-2 Tide,,,,,,,,,,5 (11 Girls),,,,,,,,,,,,
g11oprem1ov,OPVC 11 Herber,,,,,,,8 (12 Club),,,9 (11 Open),,,,,,,,,,,,
g11oprem2ov,OPVC 11 Sedgwick,,,,,,,,,,9 (11 Girls),,,,,,,,,,,,
g11opuvb1fl,OPU 11 Adidas,,10 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11otbva1fl,OT 11 O Omi,,,,,,7 (11-12G Club),,,,,,,,38 (10 Girls),,,,,,,,
