TeamName,Division,State,TeamCode,TeamID,Age Group,Team Team Code
Platinum 17 Power,17's,UT,rs33ab45,256345,17U Entry Fee - GIRLS,RS33AB45
RRHVB 16-1 Robyn,16's,UT,,224481,16U Entry Fee - GIRLS,
SCB 13S City White,13's,UT,13 city white,256005,13U Entry Fee - BOYS,13 City White
SCB 14 Salty Aaron,14's,UT,	b14112821im,256001,14U Entry Fee - BOYS,B14112821IM
SCB 15 Salty Corrie,15's,UT,b15112822im,256003,15U Entry Fee - BOYS,B15112822IM
SCB 15 Salty Kris,15's,UT,b15112821im,256000,15U Entry Fee - BOYS,B15112821IM
SCB 16 Salty JJ,16's,UT,	b16112821im,255991,16U Entry Fee - BOYS,B16112821IM
SCB 16S Bryan,16's,UT,16- bryan,256007,16U Entry Fee - BOYS,16- Bryan
SCB 17 Salty Marcus,17's,UT,	b17112822im,256002,17U Entry Fee - BOYS,B17112822IM
SCB 17 Salty Rob,17's,UT,b17112821im,255999,17U Entry Fee - BOYS,B17112821IM
SCB 18 Salty Reed,18's,UT,	b18112821im,255943,18U Entry Fee - BOYS,B18112821IM
SCB 18N City T,18's,UT,scb 18 mel,256004,18U Entry Fee - BOYS,SCB 18 Mel
SUSA 17/18,17's,OR,susa,250872,17U Entry Fee - GIRLS,SUSA
SWVC 14 1,14's,WY,g14swvbc1im,255562,14U Entry Fee - GIRLS,G14SWVBC1IM
South County 12 Jonny,12's,UT,g12scvbc1im,255993,12U Entry Fee - GIRLS,G12SCVBC1IM
South County 13 Erica,13's,UT,g13scvbc1im,255994,13U Entry Fee - GIRLS,G13SCVBC1IM
South County 15 Sarah,15's,UT,g15scvbc1im,223177,15U Entry Fee - GIRLS,G15SCVBC1IM
South County 16 Napoleon,16's,UT,b16scvbc1im,255995,16U Entry Fee - BOYS,B16SCVBC1IM
South County 16 Penina,16's,UT,g16scvbc1im,244682,16U Entry Fee - GIRLS,G16SCVBC1IM
South County 17 Bonnie/Erika,17's,UT,g17scvbc1im,236383,17U Entry Fee - GIRLS,G17SCVBC1IM
South County 17 Gio,17's,UT,b17scvbc1im,223176,17U Entry Fee - GIRLS,b17SCVBC1im
South County 18 Roberto,18's,UT,b18scvbc1im,255996,18U Entry Fee - BOYS,B18SCVBC1IM
Tstreet SN 15-DJ,15's,CA,g15tsrsn1nc,250981,15U Entry Fee - GIRLS,G15TSRSN1NC
Tstreet SN 15-Dylan,15's,CA,g15tsrsn2nc,250982,15U Entry Fee - GIRLS,G15TSRSN2NC
Tstreet SN 16-Ally,16's,CA,g16tsrsn2nc,250980,16U Entry Fee - GIRLS,G16TSRSN2NC
Tstreet SN 16-Dana,16's,CA,g16tsrsn1nc,250979,16U Entry Fee - GIRLS,G16TSRSN1NC
U16 1 Black Allen,16's,WA,g16rnvtr1ev,256097,16U Entry Fee - GIRLS,G16RNVTR1EV
Vortex - Desiree,16's,UT,b16vorvb1im,237053,16U Entry Fee - BOYS,b16vorvb1im
Vortex - Desiree,16's,UT,b16vorvb1im,237053,17U Entry Fee - BOYS,b16vorvb1im
Vortex - Nick,17's,UT,w3etye,256392,17U Entry Fee - BOYS,W3ETYE
Vortex 14 - Ryan,14's,UT,w3etye,256061,14U Entry Fee - BOYS,W3ETYE
Vortex VBC 16 - Art,16's,UT,g15vorvb1im,236866,16U Entry Fee - GIRLS,g15vorvb1im
WYO-ACE 16U RED,16's,WY,,250525,16U Entry Fee - GIRLS,
